SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
ALPHAINFRA,EQ,118.94,120.29,118.21,119.56,119.56,120.11,459025,54786163.83,01-JAN-2024,2557,INE37018701011
ALPHAINFRA,EQ,119.5,119.81,118.67,118.98,118.98,119.56,232552,27709345.97,02-JAN-2024,1298,INE37018701011
ALPHAINFRA,EQ,119.51,121.77,118.41,120.66,120.66,118.98,162320,19523849.6,03-JAN-2024,908,INE37018701011
ALPHAINFRA,EQ,122.52,124.4,120.27,122.14,122.14,120.66,134439,16437856.53,04-JAN-2024,753,INE37018701011
ALPHAINFRA,EQ,119.71,123.23,116.26,119.78,119.78,122.14,522137,62529386.66,05-JAN-2024,2907,INE37018701011
ALPHAINFRA,EQ,120.9,124.26,118.26,121.61,121.61,119.78,675695,82013606.78,08-JAN-2024,3760,INE37018701011
ALPHAINFRA,EQ,118.94,122.17,115.88,119.1,119.1,121.61,346725,41277611.25,09-JAN-2024,1933,INE37018701011
ALPHAINFRA,EQ,120.19,121.95,117.67,119.43,119.43,119.1,115533,13827374.55,10-JAN-2024,648,INE37018701011
ALPHAINFRA,EQ,117.02,119.44,114.82,117.23,117.23,119.43,244919,28695526.44,11-JAN-2024,1367,INE37018701011
ALPHAINFRA,EQ,116.06,116.48,115.69,116.11,116.11,117.23,541571,62872782.63,12-JAN-2024,3015,INE37018701011
ALPHAINFRA,EQ,115.22,116.73,112.76,114.26,114.26,116.11,230662,26430020.83,15-JAN-2024,1288,INE37018701011
ALPHAINFRA,EQ,113.93,115.0,112.63,113.7,113.7,114.26,629554,71628555.61,16-JAN-2024,3504,INE37018701011
ALPHAINFRA,EQ,113.27,114.13,112.64,113.5,113.5,113.7,205760,23337985.07,17-JAN-2024,1150,INE37018701011
ALPHAINFRA,EQ,110.57,112.54,108.85,110.81,110.81,113.5,454826,50364399.07,18-JAN-2024,2533,INE37018701011
ALPHAINFRA,EQ,111.42,112.36,110.32,111.26,111.26,110.81,459275,51123431.17,19-JAN-2024,2558,INE37018701011
ALPHAINFRA,EQ,109.07,111.2,107.03,109.16,109.16,111.26,306315,33428155.95,22-JAN-2024,1708,INE37018701011
ALPHAINFRA,EQ,108.97,109.92,107.99,108.94,108.94,109.16,164044,17872593.8,23-JAN-2024,918,INE37018701011
ALPHAINFRA,EQ,110.71,113.14,108.8,111.23,111.23,108.94,134582,14946228.31,24-JAN-2024,754,INE37018701011
ALPHAINFRA,EQ,112.77,113.17,112.33,112.73,112.73,111.23,93091,10495389.64,25-JAN-2024,524,INE37018701011
ALPHAINFRA,EQ,117.34,118.79,115.29,116.74,116.74,112.73,386313,45175442.22,26-JAN-2024,2153,INE37018701011
ALPHAINFRA,EQ,116.31,118.0,113.79,115.47,115.47,116.74,279939,32403872.38,29-JAN-2024,1562,INE37018701011
ALPHAINFRA,EQ,115.39,117.22,113.85,115.67,115.67,115.47,271063,31329461.54,30-JAN-2024,1512,INE37018701011
ALPHAINFRA,EQ,118.36,119.86,117.57,119.06,119.06,115.67,186692,22184610.36,31-JAN-2024,1044,INE37018701011
ALPHAINFRA,EQ,115.21,115.94,113.94,114.67,114.67,119.06,150930,17334310.5,01-FEB-2024,845,INE37018701011
ALPHAINFRA,EQ,115.26,117.35,113.64,115.73,115.73,114.67,96784,11185649.49,02-FEB-2024,544,INE37018701011
ALPHAINFRA,EQ,111.97,115.54,109.5,113.04,113.04,115.73,754259,84999960.91,05-FEB-2024,4197,INE37018701011
ALPHAINFRA,EQ,115.04,117.16,112.61,114.72,114.72,113.04,250724,28790636.92,06-FEB-2024,1399,INE37018701011
ALPHAINFRA,EQ,111.47,112.38,111.01,111.92,111.92,114.72,116892,13065018.84,07-FEB-2024,656,INE37018701011
ALPHAINFRA,EQ,111.86,112.1,111.63,111.87,111.87,111.92,131801,14744138.53,08-FEB-2024,739,INE37018701011
ALPHAINFRA,EQ,111.58,112.58,111.23,112.24,112.24,111.87,120622,13511674.37,09-FEB-2024,677,INE37018701011
ALPHAINFRA,EQ,113.42,114.14,113.12,113.85,113.85,112.24,245636,27929631.99,12-FEB-2024,1371,INE37018701011
ALPHAINFRA,EQ,116.26,116.77,115.61,116.12,116.12,113.85,487031,56576767.83,13-FEB-2024,2712,INE37018701011
ALPHAINFRA,EQ,114.53,114.83,113.86,114.16,114.16,116.12,268656,30702903.2,14-FEB-2024,1499,INE37018701011
ALPHAINFRA,EQ,110.58,111.37,110.22,111.01,111.01,114.16,288383,31972061.93,15-FEB-2024,1609,INE37018701011
ALPHAINFRA,EQ,110.86,111.42,110.01,110.57,110.57,111.01,392410,43426706.67,16-FEB-2024,2187,INE37018701011
ALPHAINFRA,EQ,109.25,109.83,108.49,109.08,109.08,110.57,307425,33550315.0,19-FEB-2024,1714,INE37018701011
ALPHAINFRA,EQ,110.21,110.82,108.85,109.45,109.45,109.08,117577,12898980.75,20-FEB-2024,660,INE37018701011
ALPHAINFRA,EQ,112.05,114.19,110.02,112.15,112.15,109.45,542302,60802900.24,21-FEB-2024,3019,INE37018701011
ALPHAINFRA,EQ,113.34,114.57,112.01,113.23,113.23,112.15,375667,42551801.09,22-FEB-2024,2094,INE37018701011
ALPHAINFRA,EQ,113.79,114.08,113.26,113.55,113.55,113.23,638791,72585821.33,23-FEB-2024,3555,INE37018701011
ALPHAINFRA,EQ,111.86,114.03,110.1,112.26,112.26,113.55,327497,36722238.61,26-FEB-2024,1826,INE37018701011
ALPHAINFRA,EQ,112.72,115.34,110.51,113.11,113.11,112.26,134745,15224388.4,27-FEB-2024,755,INE37018701011
