date,symbol,open,high,low,close,prev_close,volume
2024-01-01,ALPHAINFRA,118.94,120.29,118.21,119.56,120.11,459025
2024-01-02,ALPHAINFRA,119.5,119.81,118.67,118.98,119.56,232552
2024-01-03,ALPHAINFRA,119.51,121.77,118.41,120.66,118.98,162320
2024-01-04,ALPHAINFRA,122.52,124.4,120.27,122.14,120.66,134439
2024-01-05,ALPHAINFRA,119.71,123.23,116.26,119.78,122.14,522137
2024-01-08,ALPHAINFRA,120.9,124.26,118.26,121.61,119.78,675695
2024-01-09,ALPHAINFRA,118.94,122.17,115.88,119.1,121.61,346725
2024-01-10,ALPHAINFRA,120.19,121.95,117.67,119.43,119.1,115533
2024-01-11,ALPHAINFRA,117.02,119.44,114.82,117.23,119.43,244919
2024-01-12,ALPHAINFRA,116.06,116.48,115.69,116.11,117.23,541571
2024-01-15,ALPHAINFRA,115.22,116.73,112.76,114.26,116.11,230662
2024-01-16,ALPHAINFRA,113.93,115.0,112.63,113.7,114.26,629554
2024-01-17,ALPHAINFRA,113.27,114.13,112.64,113.5,113.7,205760
2024-01-18,ALPHAINFRA,110.57,112.54,108.85,110.81,113.5,454826
2024-01-19,ALPHAINFRA,111.42,112.36,110.32,111.26,110.81,459275
2024-01-22,ALPHAINFRA,109.07,111.2,107.03,109.16,111.26,306315
2024-01-23,ALPHAINFRA,108.97,109.92,107.99,108.94,109.16,164044
2024-01-24,ALPHAINFRA,110.71,113.14,108.8,111.23,108.94,134582
2024-01-25,ALPHAINFRA,112.77,113.17,112.33,112.73,111.23,93091
2024-01-26,ALPHAINFRA,117.34,118.79,115.29,116.74,112.73,386313
2024-01-29,ALPHAINFRA,116.31,118.0,113.79,115.47,116.74,279939
2024-01-30,ALPHAINFRA,115.39,117.22,113.85,115.67,115.47,271063
2024-01-31,ALPHAINFRA,118.36,119.86,117.57,119.06,115.67,186692
2024-02-01,ALPHAINFRA,115.21,115.94,113.94,114.67,119.06,150930
2024-02-02,ALPHAINFRA,115.26,117.35,113.64,115.73,114.67,96784
2024-02-05,ALPHAINFRA,111.97,115.54,109.5,113.04,115.73,754259
2024-02-06,ALPHAINFRA,115.04,117.16,112.61,114.72,113.04,250724
2024-02-07,ALPHAINFRA,111.47,112.38,111.01,111.92,114.72,116892
2024-02-08,ALPHAINFRA,111.86,112.1,111.63,111.87,111.92,131801
2024-02-09,ALPHAINFRA,111.58,112.58,111.23,112.24,111.87,120622
2024-02-12,ALPHAINFRA,113.42,114.14,113.12,113.85,112.24,245636
2024-02-13,ALPHAINFRA,116.26,116.77,115.61,116.12,113.85,487031
2024-02-14,ALPHAINFRA,114.53,114.83,113.86,114.16,116.12,268656
2024-02-15,ALPHAINFRA,110.58,111.37,110.22,111.01,114.16,288383
2024-02-16,ALPHAINFRA,110.86,111.42,110.01,110.57,111.01,392410
2024-02-19,ALPHAINFRA,109.25,109.83,108.49,109.08,110.57,307425
2024-02-20,ALPHAINFRA,110.21,110.82,108.85,109.45,109.08,117577
2024-02-21,ALPHAINFRA,112.05,114.19,110.02,112.15,109.45,542302
2024-02-22,ALPHAINFRA,113.34,114.57,112.01,113.23,112.15,375667
2024-02-23,ALPHAINFRA,113.79,114.08,113.26,113.55,113.23,638791
2024-02-26,ALPHAINFRA,111.86,114.03,110.1,112.26,113.55,327497
2024-02-27,ALPHAINFRA,112.72,115.34,110.51,113.11,112.26,134745
2024-02-28,ALPHAINFRA,114.26,115.64,113.33,114.7,113.11,220726
2024-02-29,ALPHAINFRA,111.54,112.19,110.96,111.61,114.7,350989
2024-03-01,ALPHAINFRA,114.48,115.46,112.69,113.66,111.61,223929
2024-03-04,ALPHAINFRA,113.86,114.93,112.42,113.49,113.66,796154
2024-03-05,ALPHAINFRA,111.09,113.28,109.18,111.36,113.49,350607
2024-03-06,ALPHAINFRA,106.75,108.94,105.48,107.66,111.36,346376
2024-03-07,ALPHAINFRA,108.74,109.71,108.08,109.05,107.66,282702
2024-03-08,ALPHAINFRA,108.91,110.29,108.15,109.53,109.05,301264
2024-03-11,ALPHAINFRA,109.81,111.57,108.05,109.82,109.53,156994
2024-03-12,ALPHAINFRA,108.21,108.66,107.68,108.12,109.82,174349
2024-03-13,ALPHAINFRA,106.71,108.55,105.95,107.79,108.12,307397
2024-03-14,ALPHAINFRA,107.69,109.98,104.63,106.9,107.79,300101
2024-03-15,ALPHAINFRA,109.75,110.42,108.88,109.55,106.9,112597
2024-03-18,ALPHAINFRA,108.59,109.87,107.86,109.14,109.55,296858
2024-03-19,ALPHAINFRA,110.93,111.75,110.38,111.2,109.14,533737
2024-03-20,ALPHAINFRA,111.38,112.06,110.4,111.08,111.2,63569
2024-03-21,ALPHAINFRA,111.01,111.59,110.22,110.81,111.08,643163
2024-03-22,ALPHAINFRA,109.97,110.8,109.23,110.07,110.81,187246
2024-03-25,ALPHAINFRA,108.91,110.46,107.93,109.49,110.07,337099
2024-03-26,ALPHAINFRA,112.01,112.9,111.56,112.46,109.49,245663
2024-03-27,ALPHAINFRA,113.71,116.21,111.61,114.1,112.46,424200
2024-03-28,ALPHAINFRA,114.68,116.71,112.52,114.55,114.1,80811
2024-03-29,ALPHAINFRA,115.21,117.06,113.7,115.55,114.55,95156
2024-04-01,ALPHAINFRA,115.81,116.76,115.27,116.22,115.55,270942
2024-04-02,ALPHAINFRA,116.77,117.77,115.56,116.56,116.22,421598
2024-04-03,ALPHAINFRA,118.15,119.0,117.35,118.2,116.56,266785
2024-04-04,ALPHAINFRA,117.96,118.61,117.25,117.9,118.2,238395
2024-04-05,ALPHAINFRA,120.5,121.16,119.45,120.11,117.9,323070
2024-04-08,ALPHAINFRA,118.96,119.57,118.64,119.25,120.11,383435
2024-04-09,ALPHAINFRA,122.2,123.37,120.82,121.99,119.25,147586
2024-04-10,ALPHAINFRA,123.9,127.02,120.83,123.94,121.99,1422857
2024-04-11,ALPHAINFRA,120.27,121.1,119.31,120.14,123.94,244814
2024-04-12,ALPHAINFRA,117.61,117.99,117.26,117.64,120.14,119204
2024-04-15,ALPHAINFRA,121.25,122.52,119.79,121.07,117.64,160890
2024-04-16,ALPHAINFRA,123.73,124.0,122.97,123.24,121.07,116706
2024-04-17,ALPHAINFRA,121.47,125.59,117.04,121.16,123.24,335250
2024-04-18,ALPHAINFRA,123.48,124.44,122.39,123.35,121.16,176276
2024-04-19,ALPHAINFRA,124.59,124.99,123.67,124.08,123.35,185736
2024-04-22,ALPHAINFRA,123.36,125.64,121.43,123.71,124.08,478425
2024-04-23,ALPHAINFRA,123.15,124.02,122.3,123.17,123.71,304606
2024-04-24,ALPHAINFRA,123.36,124.19,122.94,123.77,123.17,142322
2024-04-25,ALPHAINFRA,120.7,121.9,120.01,121.21,123.77,421054
2024-04-26,ALPHAINFRA,119.69,122.31,117.73,120.34,121.21,146849
2024-04-29,ALPHAINFRA,119.69,121.29,118.41,120.01,120.34,126575
2024-04-30,ALPHAINFRA,120.37,120.71,119.57,119.92,120.01,176829
2024-05-01,ALPHAINFRA,118.45,119.4,118.09,119.04,119.92,216354
2024-05-02,ALPHAINFRA,116.62,117.05,115.62,116.04,119.04,263340
2024-05-03,ALPHAINFRA,114.97,115.98,114.2,115.21,116.04,157570
2024-05-06,ALPHAINFRA,116.39,117.44,114.53,115.57,115.21,373420
2024-05-07,ALPHAINFRA,113.4,115.39,112.55,114.52,115.57,267556
2024-05-08,ALPHAINFRA,114.31,115.59,113.51,114.78,114.52,296981
2024-05-09,ALPHAINFRA,112.54,114.78,109.89,112.11,114.78,55419
2024-05-10,ALPHAINFRA,110.83,111.69,110.24,111.1,112.11,675889
2024-05-13,ALPHAINFRA,110.75,113.32,107.82,110.39,111.1,240187
2024-05-14,ALPHAINFRA,110.18,110.76,109.48,110.06,110.39,138567
2024-05-15,ALPHAINFRA,110.41,111.72,109.58,110.88,110.06,220885
2024-05-16,ALPHAINFRA,113.37,113.8,112.42,112.84,110.88,141984
2024-05-17,ALPHAINFRA,113.38,116.93,110.49,114.03,112.84,189501
2024-05-20,ALPHAINFRA,111.87,114.73,109.65,112.5,114.03,227626
2024-05-21,ALPHAINFRA,113.91,114.77,113.47,114.32,112.5,237565
2024-05-22,ALPHAINFRA,114.89,116.44,114.07,115.62,114.32,548179
2024-05-23,ALPHAINFRA,113.73,114.8,112.9,113.96,115.62,199628
2024-05-24,ALPHAINFRA,115.54,116.61,114.28,115.36,113.96,115198
2024-05-27,ALPHAINFRA,115.27,117.5,112.62,114.85,115.36,180988
2024-05-28,ALPHAINFRA,115.35,116.65,114.66,115.95,114.85,127532
2024-05-29,ALPHAINFRA,114.02,115.24,113.69,114.9,115.95,233696
2024-05-30,ALPHAINFRA,118.13,119.19,116.83,117.89,114.9,167773
2024-05-31,ALPHAINFRA,118.32,119.82,117.48,118.97,117.89,142212
2024-06-03,ALPHAINFRA,120.37,120.92,120.06,120.61,118.97,176526
2024-06-04,ALPHAINFRA,120.97,121.92,120.14,121.1,120.61,243993
2024-06-05,ALPHAINFRA,121.05,121.62,120.73,121.3,121.1,103612
2024-06-06,ALPHAINFRA,119.94,122.36,118.13,120.54,121.3,194412
2024-06-07,ALPHAINFRA,121.75,122.58,120.37,121.19,120.54,197029
2024-06-10,ALPHAINFRA,117.26,119.06,115.57,117.38,121.19,230787
2024-06-11,ALPHAINFRA,119.02,119.8,118.36,119.13,117.38,357928
2024-06-12,ALPHAINFRA,117.88,121.28,114.2,117.59,119.13,453973
2024-06-13,ALPHAINFRA,119.3,119.91,118.98,119.59,117.59,287178
2024-06-14,ALPHAINFRA,123.94,124.51,123.01,123.58,119.59,177911
2024-06-17,ALPHAINFRA,123.76,124.45,122.84,123.53,123.58,238110
2024-06-18,ALPHAINFRA,125.86,126.33,124.34,124.8,123.53,410529
2024-06-19,ALPHAINFRA,123.67,126.85,121.4,124.56,124.8,164471
2024-06-20,ALPHAINFRA,127.6,128.9,126.33,127.63,124.56,78635
2024-06-21,ALPHAINFRA,124.33,126.41,123.08,125.16,127.63,222540
2024-06-24,ALPHAINFRA,127.74,128.24,126.16,126.66,125.16,344086
2024-06-25,ALPHAINFRA,128.34,130.57,125.46,127.68,126.66,429124
2024-06-26,ALPHAINFRA,129.79,130.48,129.24,129.92,127.68,114829
2024-06-27,ALPHAINFRA,128.15,130.4,125.64,127.89,129.92,133606
2024-06-28,ALPHAINFRA,128.67,128.94,127.51,127.78,127.89,217286
2024-07-01,ALPHAINFRA,125.16,126.29,124.21,125.35,127.78,519389
2024-07-02,ALPHAINFRA,124.87,125.28,124.05,124.45,125.35,122544
2024-07-03,ALPHAINFRA,123.89,125.28,122.37,123.75,124.45,153285
2024-07-04,ALPHAINFRA,121.4,124.78,119.07,122.43,123.75,243341
2024-07-05,ALPHAINFRA,122.26,123.1,121.92,122.75,122.43,418472
2024-07-08,ALPHAINFRA,122.87,126.8,120.07,123.97,122.75,248972
2024-07-09,ALPHAINFRA,123.69,125.3,122.32,123.93,123.97,274613
2024-07-10,ALPHAINFRA,123.56,124.16,123.11,123.71,123.93,199570
2024-07-11,ALPHAINFRA,122.07,124.71,120.09,122.72,123.71,121126
2024-07-12,ALPHAINFRA,119.8,121.1,118.71,120.01,122.72,595266
2024-07-15,ALPHAINFRA,117.47,118.49,116.62,117.63,120.01,136050
2024-07-16,ALPHAINFRA,114.26,114.6,113.92,114.25,117.63,423792
2024-07-17,ALPHAINFRA,114.66,116.16,113.35,114.85,114.25,608802
2024-07-18,ALPHAINFRA,115.05,116.68,114.37,116.0,114.85,92329
2024-07-19,ALPHAINFRA,115.18,115.89,114.53,115.24,116.0,192733
2024-07-22,ALPHAINFRA,114.73,117.02,112.39,114.68,115.24,210487
2024-07-23,ALPHAINFRA,115.81,116.96,114.56,115.71,114.68,115057
2024-07-24,ALPHAINFRA,113.85,114.63,113.3,114.09,115.71,152318
2024-07-25,ALPHAINFRA,112.6,113.26,112.17,112.82,114.09,285430
2024-07-26,ALPHAINFRA,107.35,109.23,105.42,107.3,112.82,147580
2024-07-29,ALPHAINFRA,106.95,108.59,105.7,107.33,107.3,72810
2024-07-30,ALPHAINFRA,103.17,103.91,102.62,103.36,107.33,219405
2024-07-31,ALPHAINFRA,106.21,107.09,105.44,106.32,103.36,289923
2024-08-01,ALPHAINFRA,108.29,109.94,106.52,108.17,106.32,152049
2024-08-02,ALPHAINFRA,106.94,109.07,105.41,107.54,108.17,124455
2024-08-05,ALPHAINFRA,108.76,110.04,107.38,108.66,107.54,384214
2024-08-06,ALPHAINFRA,109.05,110.74,106.73,108.41,108.66,216961
2024-08-07,ALPHAINFRA,107.1,107.63,106.34,106.87,108.41,578089
2024-08-08,ALPHAINFRA,111.42,113.54,108.61,110.73,106.87,144806
2024-08-09,ALPHAINFRA,109.45,110.78,108.21,109.54,110.73,410520
2024-08-12,ALPHAINFRA,107.8,109.16,107.25,108.6,109.54,275707
2024-08-13,ALPHAINFRA,110.1,111.53,108.73,110.16,108.6,295426
2024-08-14,ALPHAINFRA,110.86,112.0,110.21,111.35,110.16,224184
2024-08-15,ALPHAINFRA,111.95,114.76,109.13,111.94,111.35,552420
2024-08-16,ALPHAINFRA,109.89,111.05,108.72,109.88,111.94,174339
2024-08-19,ALPHAINFRA,110.01,110.98,109.14,110.11,109.88,212633
2024-08-20,ALPHAINFRA,108.57,110.46,106.55,108.44,110.11,404233
2024-08-21,ALPHAINFRA,107.03,107.9,106.73,107.61,108.44,322626
2024-08-22,ALPHAINFRA,105.9,106.52,105.59,106.21,107.61,578796
2024-08-23,ALPHAINFRA,106.76,107.26,106.45,106.95,106.21,110744
