order_id,date,symbol,side,order_type,quantity,limit_price,filled_quantity,avg_fill_price,status,venue
AD-100001,2024-10-07,COASTBANK,BUY,LIMIT,250,279.5,125,279.6089,PARTIAL,SIMBOOK
AD-100002,2024-10-07,COASTBANK,BUY,LIMIT,350,279.67,340,281.0789,PARTIAL,SIMBOOK
AD-100003,2024-10-07,EASTPOWER,SELL,LIMIT,950,667.32,630,664.909,PARTIAL,SIMBOOK
AD-100004,2024-10-08,ALPHAINFRA,BUY,LIMIT,350,96.12,325,95.9158,PARTIAL,SIMBOOK
AD-100005,2024-10-08,EASTPOWER,SELL,LIMIT,1050,685.7,665,685.3082,PARTIAL,SIMBOOK
AD-100006,2024-10-09,BHARATCHEM,BUY,LIMIT,450,278.73,365,278.3984,PARTIAL,SIMBOOK
AD-100007,2024-10-09,ALPHAINFRA,BUY,LIMIT,650,94.57,350,94.7584,PARTIAL,SIMBOOK
AD-100008,2024-10-09,BHARATCHEM,SELL,LIMIT,450,279.89,385,280.025,PARTIAL,SIMBOOK
AD-100009,2024-10-09,EASTPOWER,BUY,LIMIT,100,681.94,70,682.2572,PARTIAL,SIMBOOK
AD-100010,2024-10-10,DECCANMOT,BUY,LIMIT,100,504.8,65,505.003,PARTIAL,SIMBOOK
AD-100011,2024-10-10,DECCANMOT,SELL,LIMIT,750,508.6,550,508.2771,PARTIAL,SIMBOOK
AD-100012,2024-10-11,COASTBANK,SELL,LIMIT,250,287.45,235,287.8045,PARTIAL,SIMBOOK
AD-100013,2024-10-11,DECCANMOT,BUY,LIMIT,850,503.99,570,503.9195,PARTIAL,SIMBOOK
AD-100014,2024-10-11,ALPHAINFRA,SELL,LIMIT,450,91.29,260,91.1425,PARTIAL,SIMBOOK
AD-100015,2024-10-11,ALPHAINFRA,BUY,LIMIT,1050,91.89,725,92.0231,PARTIAL,SIMBOOK
AD-100016,2024-10-14,EASTPOWER,SELL,LIMIT,800,682.78,680,681.4367,PARTIAL,SIMBOOK
AD-100017,2024-10-14,BHARATCHEM,SELL,LIMIT,600,268.8,460,268.813,PARTIAL,SIMBOOK
AD-100018,2024-10-14,COASTBANK,SELL,LIMIT,350,295.24,320,295.5282,PARTIAL,SIMBOOK
AD-100019,2024-10-14,BHARATCHEM,SELL,LIMIT,400,269.37,200,269.3982,PARTIAL,SIMBOOK
AD-100020,2024-10-14,BHARATCHEM,BUY,LIMIT,450,270.22,415,270.357,PARTIAL,SIMBOOK
AD-100021,2024-10-15,COASTBANK,SELL,LIMIT,100,285.1,90,285.1409,PARTIAL,SIMBOOK
AD-100022,2024-10-15,EASTPOWER,BUY,LIMIT,100,660.09,80,660.7416,PARTIAL,SIMBOOK
AD-100023,2024-10-15,ALPHAINFRA,SELL,LIMIT,400,90.88,275,90.9225,PARTIAL,SIMBOOK
AD-100024,2024-10-16,ALPHAINFRA,BUY,LIMIT,650,89.99,465,90.091,PARTIAL,SIMBOOK
AD-100025,2024-10-16,EASTPOWER,BUY,LIMIT,350,679.39,260,681.1691,PARTIAL,SIMBOOK
AD-100026,2024-10-16,ALPHAINFRA,BUY,LIMIT,50,89.52,30,89.5618,PARTIAL,SIMBOOK
AD-100027,2024-10-16,BHARATCHEM,SELL,LIMIT,450,278.98,250,278.7395,PARTIAL,SIMBOOK
AD-100028,2024-10-17,EASTPOWER,SELL,LIMIT,200,644.77,125,643.3077,PARTIAL,SIMBOOK
AD-100029,2024-10-17,DECCANMOT,BUY,LIMIT,150,523.66,135,523.3547,PARTIAL,SIMBOOK
AD-100030,2024-10-17,COASTBANK,SELL,LIMIT,1000,282.53,810,282.6578,PARTIAL,SIMBOOK
AD-100031,2024-10-17,ALPHAINFRA,SELL,LIMIT,500,85.7,375,85.822,PARTIAL,SIMBOOK
AD-100032,2024-10-17,COASTBANK,BUY,LIMIT,350,284.0,300,284.3058,PARTIAL,SIMBOOK
AD-100033,2024-10-18,ALPHAINFRA,BUY,LIMIT,100,83.04,70,82.8296,PARTIAL,SIMBOOK
AD-100034,2024-10-18,BHARATCHEM,BUY,LIMIT,450,275.19,415,275.2123,PARTIAL,SIMBOOK
AD-100035,2024-10-18,EASTPOWER,BUY,LIMIT,350,612.5,270,612.8147,PARTIAL,SIMBOOK
AD-100036,2024-10-21,EASTPOWER,SELL,LIMIT,200,619.26,150,619.2898,PARTIAL,SIMBOOK
AD-100037,2024-10-21,COASTBANK,SELL,LIMIT,550,281.92,460,282.224,PARTIAL,SIMBOOK
AD-100038,2024-10-22,BHARATCHEM,BUY,LIMIT,600,264.23,400,264.2372,PARTIAL,SIMBOOK
AD-100039,2024-10-22,ALPHAINFRA,SELL,LIMIT,150,83.69,95,83.8638,PARTIAL,SIMBOOK
AD-100040,2024-10-22,BHARATCHEM,BUY,LIMIT,800,265.7,555,265.4686,PARTIAL,SIMBOOK
AD-100041,2024-10-22,COASTBANK,BUY,LIMIT,550,276.41,355,276.9098,PARTIAL,SIMBOOK
AD-100042,2024-10-23,BHARATCHEM,BUY,LIMIT,450,254.38,400,254.2148,PARTIAL,SIMBOOK
AD-100043,2024-10-23,BHARATCHEM,BUY,LIMIT,850,255.51,475,255.5807,PARTIAL,SIMBOOK
AD-100044,2024-10-23,ALPHAINFRA,SELL,LIMIT,750,82.33,710,82.3343,PARTIAL,SIMBOOK
AD-100045,2024-10-23,COASTBANK,BUY,LIMIT,1000,274.67,855,274.1759,PARTIAL,SIMBOOK
AD-100046,2024-10-24,ALPHAINFRA,BUY,LIMIT,500,83.62,310,83.6997,PARTIAL,SIMBOOK
AD-100047,2024-10-24,DECCANMOT,SELL,LIMIT,700,470.26,335,470.1161,PARTIAL,SIMBOOK
AD-100048,2024-10-24,COASTBANK,SELL,LIMIT,100,275.63,70,276.122,PARTIAL,SIMBOOK
AD-100049,2024-10-24,ALPHAINFRA,BUY,LIMIT,100,83.14,35,83.0414,PARTIAL,SIMBOOK
AD-100050,2024-10-24,BHARATCHEM,BUY,LIMIT,600,257.23,380,257.3135,PARTIAL,SIMBOOK
AD-100051,2024-10-25,COASTBANK,BUY,LIMIT,400,282.56,320,282.3623,PARTIAL,SIMBOOK
AD-100052,2024-10-25,EASTPOWER,BUY,LIMIT,700,614.31,565,612.8626,PARTIAL,SIMBOOK
AD-100053,2024-10-25,BHARATCHEM,SELL,LIMIT,900,252.4,780,252.1112,PARTIAL,SIMBOOK
AD-100054,2024-10-25,ALPHAINFRA,BUY,LIMIT,1150,83.14,985,83.1073,PARTIAL,SIMBOOK
AD-100055,2024-10-28,BHARATCHEM,SELL,LIMIT,150,256.06,60,256.1661,PARTIAL,SIMBOOK
AD-100056,2024-10-28,DECCANMOT,BUY,LIMIT,650,451.12,255,451.3241,PARTIAL,SIMBOOK
AD-100057,2024-10-28,COASTBANK,SELL,LIMIT,750,272.48,435,272.4753,PARTIAL,SIMBOOK
AD-100058,2024-10-29,BHARATCHEM,BUY,LIMIT,750,252.96,680,253.2093,PARTIAL,SIMBOOK
AD-100059,2024-10-29,EASTPOWER,BUY,LIMIT,100,619.33,85,618.9099,PARTIAL,SIMBOOK
AD-100060,2024-10-29,ALPHAINFRA,SELL,LIMIT,900,85.72,760,85.8075,PARTIAL,SIMBOOK
AD-100061,2024-10-29,ALPHAINFRA,BUY,LIMIT,1150,86.2,1010,86.3258,PARTIAL,SIMBOOK
AD-100062,2024-10-29,BHARATCHEM,SELL,LIMIT,800,254.54,535,254.1913,PARTIAL,SIMBOOK
AD-100063,2024-10-30,COASTBANK,SELL,LIMIT,1200,268.76,580,268.935,PARTIAL,SIMBOOK
AD-100064,2024-10-30,COASTBANK,BUY,LIMIT,650,267.67,525,268.1855,PARTIAL,SIMBOOK
AD-100065,2024-10-30,ALPHAINFRA,BUY,LIMIT,50,87.73,30,87.6246,PARTIAL,SIMBOOK
AD-100066,2024-10-31,BHARATCHEM,BUY,LIMIT,750,248.1,300,248.264,PARTIAL,SIMBOOK
AD-100067,2024-10-31,DECCANMOT,BUY,LIMIT,450,444.39,405,445.1275,PARTIAL,SIMBOOK
AD-100068,2024-10-31,ALPHAINFRA,BUY,LIMIT,200,87.62,60,87.3351,PARTIAL,SIMBOOK
AD-100069,2024-11-01,COASTBANK,BUY,LIMIT,50,264.24,40,264.0069,PARTIAL,SIMBOOK
AD-100070,2024-11-01,BHARATCHEM,SELL,LIMIT,50,247.74,35,248.1357,PARTIAL,SIMBOOK
AD-100071,2024-11-04,ALPHAINFRA,SELL,LIMIT,700,87.33,315,87.1785,PARTIAL,SIMBOOK
AD-100072,2024-11-04,ALPHAINFRA,BUY,LIMIT,900,86.67,510,86.6222,PARTIAL,SIMBOOK
AD-100073,2024-11-04,ALPHAINFRA,BUY,LIMIT,750,87.35,710,87.1118,PARTIAL,SIMBOOK
AD-100074,2024-11-04,DECCANMOT,BUY,LIMIT,1100,455.71,620,455.5419,PARTIAL,SIMBOOK
AD-100075,2024-11-05,COASTBANK,SELL,LIMIT,1200,262.82,740,262.9595,PARTIAL,SIMBOOK
AD-100076,2024-11-05,COASTBANK,BUY,LIMIT,1150,263.52,1055,263.2426,PARTIAL,SIMBOOK
AD-100077,2024-11-06,BHARATCHEM,BUY,LIMIT,800,246.06,705,245.8751,PARTIAL,SIMBOOK
AD-100078,2024-11-06,ALPHAINFRA,BUY,LIMIT,250,85.63,165,85.2277,PARTIAL,SIMBOOK
AD-100079,2024-11-07,EASTPOWER,SELL,LIMIT,300,562.68,235,563.7437,PARTIAL,SIMBOOK
AD-100080,2024-11-07,BHARATCHEM,BUY,LIMIT,350,235.67,245,235.7402,PARTIAL,SIMBOOK
AD-100081,2024-11-07,ALPHAINFRA,BUY,LIMIT,1200,83.13,445,82.9557,PARTIAL,SIMBOOK
AD-100082,2024-11-07,EASTPOWER,SELL,LIMIT,400,565.05,200,564.4878,PARTIAL,SIMBOOK
